,time,bid1,bsize1,ask1,asize1,bid2,bsize2,ask2,asize2,bid3,bsize3,ask3,asize3,bid4,bsize4,ask4,asize4,bid5,bsize5,ask5,asize5,bid6,bsize6,ask6,asize6,bid7,bsize7,ask7,asize7,bid8,bsize8,ask8,asize8,bid9,bsize9,ask9,asize9,bid10,bsize10,ask10,asize10
63,34389000,9.97,13811,9.98,4900,9.96,284150,9.99,181479,9.95,255000,10.0,183313,9.94,16700,10.01,67860,9.93,34700,10.02,39117,9.92,141000,10.03,93800,9.91,67100,10.04,93960,9.9,127900,10.05,354240,9.89,42700,10.06,58277,9.88,43200,10.07,60800
64,34392000,9.97,14911,9.98,1900,9.96,290050,9.99,181479,9.95,255000,10.0,183313,9.94,16700,10.01,67860,9.93,34700,10.02,39117,9.92,141000,10.03,93800,9.91,67100,10.04,93960,9.9,127900,10.05,354240,9.89,42700,10.06,58277,9.88,43200,10.07,60800
65,34394000,9.97,14411,9.98,1900,9.96,290050,9.99,181479,9.95,255000,10.0,173313,9.94,16700,10.01,67860,9.93,34700,10.02,39117,9.92,141000,10.03,93800,9.91,67100,10.04,93960,9.9,127900,10.05,354240,9.89,42700,10.06,58277,9.88,43200,10.07,60800
66,34397000,9.97,14411,9.98,1100,9.96,290050,9.99,181479,9.95,254500,10.0,173313,9.94,16700,10.01,67860,9.93,34700,10.02,39117,9.92,141000,10.03,93800,9.91,77100,10.04,93960,9.9,127900,10.05,354240,9.89,42700,10.06,58277,9.88,43200,10.07,60800
67,34400000,9.97,14411,9.98,1100,9.96,274550,9.99,184479,9.95,259500,10.0,173313,9.94,17200,10.01,67860,9.93,34700,10.02,39117,9.92,141000,10.03,93800,9.91,77100,10.04,93960,9.9,127900,10.05,354240,9.89,42700,10.06,58277,9.88,43200,10.07,60800
68,34404000,9.98,1100,9.99,184679,9.97,15411,10.0,173313,9.96,274550,10.01,67860,9.95,259500,10.02,39117,9.94,17200,10.03,93800,9.93,34700,10.04,93960,9.92,141000,10.05,354740,9.91,77100,10.06,58277,9.9,127900,10.07,60800,9.89,42700,10.08,592900
69,34407000,9.97,17411,9.98,3800,9.96,274550,9.99,184679,9.95,259500,10.0,173313,9.94,17200,10.01,67860,9.93,34700,10.02,39117,9.92,141000,10.03,94800,9.91,77100,10.04,93960,9.9,127900,10.05,354740,9.89,42700,10.06,58277,9.88,43200,10.07,60800
70,34410000,9.97,17511,9.98,700,9.96,274550,9.99,184679,9.95,259900,10.0,173313,9.94,17200,10.01,69860,9.93,34700,10.02,41117,9.92,141000,10.03,94800,9.91,77100,10.04,94960,9.9,127900,10.05,354740,9.89,42700,10.06,58277,9.88,43200,10.07,60800
71,34412000,9.98,600,9.99,184679,9.97,106811,10.0,175413,9.96,274550,10.01,69860,9.95,259900,10.02,41117,9.94,17200,10.03,94800,9.93,34700,10.04,94960,9.92,141000,10.05,354740,9.91,77100,10.06,58277,9.9,127900,10.07,60800,9.89,42700,10.08,592900
72,34415000,9.98,16100,9.99,184679,9.97,108011,10.0,175413,9.96,274550,10.01,69860,9.95,259900,10.02,41117,9.94,17200,10.03,94800,9.93,34700,10.04,94960,9.92,141000,10.05,354740,9.91,77100,10.06,58277,9.9,129900,10.07,60800,9.89,42700,10.08,592900
73,34419000,9.98,17000,9.99,184679,9.97,108011,10.0,175413,9.96,274550,10.01,69860,9.95,259900,10.02,91117,9.94,17200,10.03,94800,9.93,34700,10.04,94960,9.92,141500,10.05,354740,9.91,77100,10.06,58277,9.9,129900,10.07,60800,9.89,42700,10.08,592900
74,34422000,9.98,17300,9.99,189479,9.97,109011,10.0,174413,9.96,274550,10.01,69860,9.95,259900,10.02,91117,9.94,17200,10.03,94800,9.93,34700,10.04,94960,9.92,141500,10.05,354840,9.91,77100,10.06,58277,9.9,129900,10.07,60800,9.89,42700,10.08,592900
75,34425000,9.98,16700,9.99,189479,9.97,109011,10.0,174413,9.96,275850,10.01,69860,9.95,261900,10.02,91117,9.94,17200,10.03,94800,9.93,34700,10.04,94960,9.92,140300,10.05,354840,9.91,77100,10.06,58277,9.9,129900,10.07,60800,9.89,42700,10.08,592900
76,34427000,9.98,17000,9.99,192479,9.97,109011,10.0,175413,9.96,273450,10.01,69860,9.95,261900,10.02,91117,9.94,17200,10.03,94800,9.93,34700,10.04,94960,9.92,140300,10.05,354840,9.91,77100,10.06,58277,9.9,129900,10.07,60800,9.89,42700,10.08,592900
77,34431000,9.98,19700,9.99,191479,9.97,109011,10.0,175413,9.96,273150,10.01,69860,9.95,263200,10.02,91117,9.94,16000,10.03,94800,9.93,37000,10.04,94960,9.92,140300,10.05,354840,9.91,77100,10.06,58277,9.9,129900,10.07,60800,9.89,42700,10.08,592900
78,34434000,9.97,109011,9.98,21543,9.96,273150,9.99,191879,9.95,263200,10.0,177413,9.94,16000,10.01,69860,9.93,37000,10.02,92117,9.92,140300,10.03,94800,9.91,77100,10.04,94960,9.9,129900,10.05,354440,9.89,42700,10.06,58477,9.88,43200,10.07,60800
79,34436000,9.97,110011,9.98,16643,9.96,263150,9.99,191879,9.95,263200,10.0,177413,9.94,16000,10.01,69860,9.93,37000,10.02,92117,9.92,140300,10.03,94800,9.91,77100,10.04,94960,9.9,129900,10.05,354440,9.89,42700,10.06,58477,9.88,43200,10.07,60800
80,34439000,9.97,109811,9.98,16543,9.96,263150,9.99,191879,9.95,263200,10.0,182413,9.94,17100,10.01,70860,9.93,37000,10.02,92117,9.92,140300,10.03,94900,9.91,77100,10.04,94960,9.9,129900,10.05,354440,9.89,42700,10.06,58477,9.88,43200,10.07,60800
81,34442000,9.97,109811,9.98,56743,9.96,143150,9.99,192979,9.95,263200,10.0,182413,9.94,17100,10.01,70860,9.93,38000,10.02,92117,9.92,140300,10.03,94900,9.91,77100,10.04,94960,9.9,129900,10.05,354440,9.89,42700,10.06,58077,9.88,43200,10.07,60800
82,34445000,9.97,109811,9.98,32243,9.96,143150,9.99,192979,9.95,263200,10.0,182613,9.94,17100,10.01,70860,9.93,38000,10.02,92117,9.92,140300,10.03,94900,9.91,77100,10.04,94960,9.9,129900,10.05,354440,9.89,42700,10.06,58077,9.88,43200,10.07,60800
83,34448000,9.97,109811,9.98,32543,9.96,143150,9.99,195479,9.95,263200,10.0,189013,9.94,20100,10.01,70860,9.93,38000,10.02,92117,9.92,140300,10.03,94900,9.91,77100,10.04,94960,9.9,129900,10.05,354440,9.89,42700,10.06,58077,9.88,43200,10.07,60800
