,time,price,size
1009,34860560,9.97,583
1010,34861030,9.97,1900
1011,34861330,9.97,1000
1012,34861610,9.97,6517
1013,34861610,9.98,1483
1014,34861610,9.98,100
1015,34861890,9.98,317
1016,34861890,9.98,3000
1017,34861890,9.99,1800
1018,34861890,9.99,3883
1019,34864000,9.97,500
1020,34865660,9.96,500
1021,34869620,9.97,100
1022,34873140,9.96,500
1023,34873140,9.96,1000
1024,34873140,9.96,800
1025,34873230,9.97,1062
1026,34873230,9.97,40500
1027,34873230,9.97,2000
1028,34873930,9.97,3000
1029,34876800,9.97,29900
1030,34877070,9.97,23738
1031,34877070,9.96,1200
1032,34877070,9.96,800
1033,34877070,9.96,400
1034,34877070,9.96,1000
1035,34877070,9.96,1200
1036,34877070,9.96,1000
1037,34877070,9.96,4500
1038,34877070,9.96,1000
1039,34877070,9.96,1300
1040,34877070,9.96,1200
1041,34877070,9.96,10000
1042,34877070,9.96,1000
1043,34877070,9.96,10000
1044,34877070,9.96,100
1045,34877070,9.96,900
1046,34877070,9.96,2000
1047,34877070,9.96,1000
1048,34877070,9.96,26200
1049,34877070,9.96,1000
1050,34877070,9.96,17000
1051,34877070,9.96,500
1052,34877070,9.96,10000
1053,34877070,9.96,4600
1054,34877070,9.96,28362
1055,34877390,9.98,100
1056,34877390,9.98,700
1057,34880820,9.97,1000
1058,34883760,9.96,360
1059,34884890,9.97,800
1060,34889480,9.96,300
1061,34890930,9.97,200
1062,34890930,9.97,500
1063,34892110,9.97,700
1064,34892120,9.97,400
1065,34892510,9.96,7600
1066,34892720,9.97,600
1067,34896280,9.97,100
1068,34898560,9.97,200
1069,34899780,9.96,900
1070,34901140,9.96,1200
1071,34901280,9.97,1300
1072,34901280,9.97,1500
1073,34906480,9.97,1900
1074,34906480,9.97,1000
1075,34906480,9.97,100
1076,34907240,9.97,500
1077,34907900,9.97,100
1078,34909320,9.96,500
1079,34914890,9.97,1100
1080,34915160,9.96,5100
1081,34916640,9.97,100
1082,34921450,9.97,1000
1083,34922020,9.97,9000
1084,34925100,9.96,1000
1085,34933190,9.96,1300
1086,34933670,9.97,900
1087,34933810,9.96,2000
1088,34933850,9.97,800
1089,34935440,9.97,2000
1090,34936430,9.97,600
1091,34937540,9.96,100
1092,34938770,9.97,500
1093,34939910,9.97,500
1094,34940370,9.96,800
1095,34940670,9.96,478
1096,34940670,9.96,1100
